ITEM_ID,MAKE,MODEL,YEAR,MILEAGE,PRICE
886,Toyota,Rav4,2015,62648,35450
1827,Toyota,Sienna,2013,99794,27541
2677,Toyota,Sienna,2012,108304,28609
2732,Toyota,Sienna,2014,77277,34534
2773,Toyota,Sienna,2014,82568,25052
3567,Nissan,Rogue,2014,82526,30000
3796,Toyota,Sienna,2012,105504,27844
3843,Ford,Mustang,2014,80940,34931
3875,Nissan,Leaf,2012,110595,19595
4162,Nissan,Leaf,2015,65596,37952
4231,Nissan,Altima,2015,63395,28983
4291,Toyota,Rav4,2014,82246,26368
4402,Toyota,Sienna,2017,35942,41151
4513,Nissan,Leaf,2016,51757,37985
4518,Toyota,Rav4,2016,50264,34094
4784,Ford,Mustang,2014,75764,32505
4817,Ford,Mustang,2014,82011,29162
4835,Nissan,Leaf,2016,54145,31657
4838,Toyota,Prius,2010,142753,20533
4858,Toyota,Sienna,2011,128524,23286
4859,Toyota,Rav4,2013,93057,31160
4881,Toyota,Sienna,2012,110307,25760
4921,Toyota,Sienna,2012,112293,24177
4995,Toyota,Rav4,2012,114908,21363
4996,Toyota,Sienna,2016,50530,33221
5024,Toyota,Rav4,2012,106383,27587
5073,Nissan,Altima,2015,66191,34038
5143,Nissan,Altima,2017,30409,40090
5155,Toyota,Prius,2013,98670,26299
5170,Toyota,Rav4,2013,98283,29440
5277,Nissan,Leaf,2011,124407,23208
5315,Toyota,Sienna,2015,63940,30799
5322,Toyota,Sienna,2013,97839,24480
5337,Toyota,Rav4,2013,93202,24571
5377,Toyota,Rav4,2008,173631,10000
5450,Toyota,Prius,2010,139421,17776
5451,Toyota,Prius,2014,80833,27459
5521,Nissan,Rogue,2016,50731,38643
5556,Toyota,Rav4,2012,114943,25763
5578,Toyota,Rav4,2010,138200,21170
5579,Ford,Mustang,2014,77670,26850
5710,Toyota,Prius,2012,112282,27716
5748,Toyota,Sienna,2013,98952,22529
5754,Nissan,Leaf,2014,78608,30814
5796,Toyota,Rav4,2016,54403,31264
5802,Nissan,Leaf,2014,83964,31448
5847,Ford,Mustang,2013,97733,24423
5862,Ford,Mustang,2014,84892,26589
5871,Toyota,Rav4,2015,64247,33540
5885,Nissan,Altima,2014,75203,30048
5891,Toyota,Rav4,2014,81924,31402
5929,Nissan,Leaf,2016,52256,40415
5964,Nissan,Rogue,2015,66669,28462
6045,Toyota,Rav4,2015,66341,32011
6059,Toyota,Sienna,2011,121651,24513
6113,Nissan,Leaf,2017,30702,37987
6130,Toyota,Sienna,2012,110505,26706
6136,Toyota,Rav4,2013,96784,27164
6151,Nissan,Leaf,2013,94778,30896
6189,Toyota,Prius,2012,112593,22650
6207,Toyota,Sienna,2012,109766,25050
6208,Nissan,Altima,2014,77578,29761
6212,Toyota,Sienna,2014,82000,31599
6257,Toyota,Sienna,2009,151644,12658
6265,Nissan,Altima,2012,107213,28398
6275,Toyota,Sienna,2014,77575,34396
6276,Toyota,Sienna,2013,91036,31650
6295,Toyota,Rav4,2011,122325,18723
6310,Toyota,Rav4,2016,52060,37801
6323,Ford,Mustang,2016,49255,40035
6341,Nissan,Rogue,2018,22489,38133
6347,Ford,Mustang,2013,90480,31956
6352,Ford,Mustang,2013,94624,26091
6354,Toyota,Prius,2011,122402,23520
6385,Nissan,Leaf,2015,68466,34958
6386,Nissan,Altima,2013,93902,23985
6388,Toyota,Sienna,2012,114264,26643
6402,Toyota,Rav4,2014,80528,32212
6411,Toyota,Sienna,2013,95389,26788
6469,Toyota,Rav4,2016,46856,35478
6486,Toyota,Sienna,2009,154154,19599
6560,Toyota,Sienna,2017,31644,40102
6575,Ford,Fusion,2014,81465,28699
6619,Toyota,Sienna,2013,97691,30617
6623,Nissan,Leaf,2016,50007,39167
6624,Toyota,Rav4,2012,113451,19154
6636,Toyota,Rav4,2011,129888,18563
6639,Toyota,Rav4,2014,76689,29388
6660,Toyota,Sienna,2012,105501,20261
6663,Ford,Mustang,2017,33474,38024
6706,Toyota,Sienna,2015,69355,31393
6718,Ford,Mustang,2014,80621,32560
6721,Toyota,Rav4,2013,98354,28833
6733,Ford,Mustang,2012,105994,27526
6734,Ford,Mustang,2012,108118,27756
6748,Nissan,Leaf,2012,111839,26769
6763,Toyota,Rav4,2012,112741,19946
6782,Ford,Mustang,2012,110650,27773
6823,Ford,Mustang,2014,76218,30503
6845,Nissan,Altima,2016,46268,33760
6863,Nissan,Leaf,2012,110703,23651
6880,Nissan,Altima,2016,50138,33776
6909,Toyota,Prius,2010,138218,20562
6923,Toyota,Rav4,2014,75266,30352
6930,Toyota,Sienna,2011,124431,18789
6935,Toyota,Sienna,2013,92350,29677
6939,Nissan,Altima,2014,77440,30997
6941,Ford,Mustang,2012,109531,19157
6942,Toyota,Prius,2011,122756,19913
6948,Toyota,Sienna,2013,94220,26876
6955,Toyota,Sienna,2009,152768,16447
6964,Nissan,Altima,2011,126022,16549
6967,Nissan,Altima,2012,112298,27454
6973,Toyota,Prius,2011,124153,25009
6985,Toyota,Sienna,2012,109540,24428
6991,Toyota,Rav4,2019,2679,47247
6998,Toyota,Rav4,2009,156430,17374
7001,Toyota,Sienna,2013,99805,28651
7024,Toyota,Rav4,2015,66767,32783
7030,Nissan,Leaf,2014,81558,27751
7032,Ford,Mustang,2009,158191,17967
7039,Nissan,Altima,2011,122222,19757
7041,Toyota,Sienna,2012,111165,22298
7050,Toyota,Sienna,2015,60977,30241
7051,Toyota,Rav4,2011,127151,20657
7053,Nissan,Altima,2009,159716,18112
7057,Ford,Fusion,2010,143844,16001
7077,Toyota,Rav4,2012,106793,22847
7090,Toyota,Rav4,2017,35467,40758
7093,Toyota,Sienna,2013,90297,29701
7117,Toyota,Rav4,2015,68603,29661
7123,Toyota,Sienna,2012,108120,19428
7126,Toyota,Sienna,2010,141309,18644
7140,Toyota,Rav4,2013,93534,25477
7144,Ford,Mustang,2015,62221,30050
7150,Ford,Mustang,2017,36310,34685
7154,Toyota,Rav4,2014,78493,33404
7164,Toyota,Rav4,2017,30523,40460
7178,Ford,Mustang,2016,47379,34578
7185,Toyota,Sienna,2014,78529,30586
7189,Toyota,Prius,2009,154741,12268
7209,Toyota,Rav4,2017,35991,35553
7213,Nissan,Leaf,2011,125041,18070
7232,Toyota,Sienna,2012,106265,20036
7243,Nissan,Leaf,2011,128570,21956
7254,Ford,Mustang,2015,65865,35152
7280,Toyota,Sienna,2010,138888,14393
7281,Toyota,Sienna,2013,98968,23271
7285,Nissan,Altima,2013,90639,27796
7293,Toyota,Sienna,2009,151178,16668
7295,Toyota,Sienna,2012,110286,27994
7316,Toyota,Sienna,2013,90559,27969
7320,Ford,Mustang,2013,92893,25880
7324,Nissan,Altima,2013,96986,31865
7325,Toyota,Sienna,2011,129524,23038
7334,Toyota,Rav4,2011,124283,18865
7343,Toyota,Sienna,2011,124921,20020
7362,Toyota,Prius,2013,90495,25390
7363,Toyota,Rav4,2011,123826,16843
7370,Toyota,Rav4,2013,97942,28033
7388,Toyota,Rav4,2016,46813,37210
7390,Nissan,Altima,2013,91138,24802
7391,Toyota,Prius,2012,109400,19524
7404,Toyota,Sienna,2013,98690,26432
7415,Ford,Mustang,2015,69924,36780
7432,Ford,Mustang,2013,93508,26911
7440,Nissan,Altima,2015,68102,31428
7460,Nissan,Altima,2015,61608,36114
7461,Nissan,Leaf,2017,35263,40565
7475,Nissan,Leaf,2010,135678,14814
7522,Toyota,Rav4,2013,91411,30910
7533,Ford,Mustang,2013,94279,27263
7539,Toyota,Sienna,2013,96148,26169
7541,Toyota,Sienna,2015,68605,37961
7546,Ford,Mustang,2014,81460,31138
7561,Toyota,Sienna,2013,95812,29353
7575,Toyota,Rav4,2013,93665,22171
7583,Toyota,Rav4,2013,92676,24502
7590,Toyota,Rav4,2013,93542,24620
7593,Toyota,Sienna,2017,33028,34865
7602,Ford,Mustang,2013,98846,31046
7606,Nissan,Altima,2015,62186,35285
7608,Toyota,Sienna,2014,82007,30509
