USER_ID,AGE,GENDER,LOCATION,SALARY,FAV_CLUSTER,FAV_MODEL,FAV
4,39,MALE,60618,41355,14,7,NEWISH-Nissan-Altima
5,31,FEMALE,90280,35744,10,5,NEWISH-Toyota-Rav4
6,47,MALE,93535,39747,14,7,NEWISH-Nissan-Altima
10,40,MALE,10025,49733,13,6,OLDISH-Nissan-Leaf
12,38,MALE,60647,35283,14,7,NEWISH-Nissan-Altima
15,47,MALE,11226,29498,5,2,OLDISH-Toyota-Prius
25,35,FEMALE,90250,33656,10,5,NEWISH-Toyota-Rav4
28,34,FEMALE,37211,37141,9,4,OLDISH-Toyota-Sienna
29,40,FEMALE,30349,39141,7,3,OLDISH-Ford-Mustang
34,45,FEMALE,10452,20606,10,5,NEWISH-Toyota-Rav4
36,37,FEMALE,77584,70113,3,1,OLDISH-Ford-Fusion
46,37,FEMALE,92154,42970,11,5,OLDISH-Toyota-Rav4
49,37,FEMALE,90280,35744,6,3,NEWISH-Ford-Mustang
50,37,MALE,93257,30995,7,3,OLDISH-Ford-Mustang
51,41,MALE,77429,78527,8,4,NEWISH-Toyota-Sienna
54,37,FEMALE,92345,41423,12,6,NEWISH-Nissan-Leaf
68,39,MALE,78577,24216,12,6,NEWISH-Nissan-Leaf
69,43,FEMALE,93722,43256,16,8,NEWISH-Nissan-Rogue
70,33,MALE,91911,38010,9,4,OLDISH-Toyota-Sienna
74,41,FEMALE,10029,22232,6,3,NEWISH-Ford-Mustang
75,46,FEMALE,10462,33735,8,4,NEWISH-Toyota-Sienna
87,38,MALE,89110,43073,7,3,OLDISH-Ford-Mustang
95,41,MALE,94565,48523,1,0,OLDISH-Toyota-Camry
99,37,FEMALE,77036,26931,9,4,OLDISH-Toyota-Sienna
100,37,MALE,10025,49733,8,4,NEWISH-Toyota-Sienna
108,52,FEMALE,91911,38010,15,7,OLDISH-Nissan-Altima
109,38,MALE,93722,43256,6,3,NEWISH-Ford-Mustang
113,49,FEMALE,93033,46342,9,4,OLDISH-Toyota-Sienna
114,44,MALE,11219,26648,11,5,OLDISH-Toyota-Rav4
115,44,FEMALE,60647,35283,8,4,NEWISH-Toyota-Sienna
117,34,FEMALE,11219,26648,8,4,NEWISH-Toyota-Sienna
123,39,FEMALE,92509,45995,6,3,NEWISH-Ford-Mustang
129,41,MALE,92154,42970,7,3,OLDISH-Ford-Mustang
130,43,FEMALE,11355,36973,5,2,OLDISH-Toyota-Prius
135,40,MALE,11368,34746,11,5,OLDISH-Toyota-Rav4
142,34,MALE,79936,42857,11,5,OLDISH-Toyota-Rav4
143,41,FEMALE,10452,20606,9,4,OLDISH-Toyota-Sienna
145,44,FEMALE,11206,18661,17,8,OLDISH-Nissan-Rogue
150,44,FEMALE,90250,33656,14,7,NEWISH-Nissan-Altima
151,39,MALE,75052,60254,8,4,NEWISH-Toyota-Sienna
152,39,MALE,10458,22072,17,8,OLDISH-Nissan-Rogue
158,37,FEMALE,78521,23426,12,6,NEWISH-Nissan-Leaf
159,31,MALE,79912,48627,6,3,NEWISH-Ford-Mustang
160,34,FEMALE,93535,39747,7,3,OLDISH-Ford-Mustang
162,37,FEMALE,37211,37141,7,3,OLDISH-Ford-Mustang
177,38,MALE,78521,23426,12,6,NEWISH-Nissan-Leaf
180,47,MALE,92503,44829,9,4,OLDISH-Toyota-Sienna
181,41,FEMALE,37013,46063,12,6,NEWISH-Nissan-Leaf
185,37,MALE,77573,68458,8,4,NEWISH-Toyota-Sienna
193,36,FEMALE,92376,37568,8,4,NEWISH-Toyota-Sienna
195,39,MALE,11355,36973,6,3,NEWISH-Ford-Mustang
200,46,MALE,85364,31515,11,5,OLDISH-Toyota-Rav4
203,45,FEMALE,10467,29044,10,5,NEWISH-Toyota-Rav4
207,32,MALE,77479,96118,12,6,NEWISH-Nissan-Leaf
215,35,FEMALE,92336,55340,7,3,OLDISH-Ford-Mustang
220,36,MALE,91331,39225,14,7,NEWISH-Nissan-Altima
221,42,FEMALE,8701,35647,15,7,OLDISH-Nissan-Altima
226,42,MALE,92804,41887,11,5,OLDISH-Toyota-Rav4
229,36,FEMALE,11235,31013,7,3,OLDISH-Ford-Mustang
232,38,FEMALE,77573,68458,12,6,NEWISH-Nissan-Leaf
235,45,MALE,37013,46063,6,3,NEWISH-Ford-Mustang
239,38,MALE,95076,45354,3,1,OLDISH-Ford-Fusion
240,43,MALE,77449,59198,7,3,OLDISH-Ford-Mustang
242,38,MALE,10468,26852,8,4,NEWISH-Toyota-Sienna
245,36,MALE,77479,96118,11,5,OLDISH-Toyota-Rav4
259,43,MALE,91911,38010,10,5,NEWISH-Toyota-Rav4
260,41,FEMALE,89110,43073,7,3,OLDISH-Ford-Mustang
262,37,MALE,77429,78527,12,6,NEWISH-Nissan-Leaf
263,39,FEMALE,93065,72384,13,6,OLDISH-Nissan-Leaf
274,33,FEMALE,92345,41423,6,3,NEWISH-Ford-Mustang
279,45,MALE,92335,35008,9,4,OLDISH-Toyota-Sienna
288,48,FEMALE,93550,37484,10,5,NEWISH-Toyota-Rav4
297,38,MALE,75070,84847,9,4,OLDISH-Toyota-Sienna
298,38,FEMALE,92704,49923,9,4,OLDISH-Toyota-Sienna
299,34,FEMALE,10462,33735,9,4,OLDISH-Toyota-Sienna
302,41,FEMALE,90255,30375,14,7,NEWISH-Nissan-Altima
306,37,MALE,11355,36973,13,6,OLDISH-Nissan-Leaf
308,38,MALE,11212,20839,6,3,NEWISH-Ford-Mustang
309,36,MALE,93033,46342,14,7,NEWISH-Nissan-Altima
311,39,FEMALE,60617,35534,10,5,NEWISH-Toyota-Rav4
313,40,MALE,11212,20839,9,4,OLDISH-Toyota-Sienna
319,40,FEMALE,8701,35647,14,7,NEWISH-Nissan-Altima
321,38,FEMALE,11235,31013,6,3,NEWISH-Ford-Mustang
326,40,MALE,60617,35534,11,5,OLDISH-Toyota-Rav4
327,36,FEMALE,90706,39362,10,5,NEWISH-Toyota-Rav4
328,38,FEMALE,91709,78336,7,3,OLDISH-Ford-Mustang
342,41,FEMALE,11207,24163,14,7,NEWISH-Nissan-Altima
343,37,FEMALE,10029,22232,14,7,NEWISH-Nissan-Altima
345,31,MALE,10453,21109,7,3,OLDISH-Ford-Mustang
347,39,FEMALE,75052,60254,11,5,OLDISH-Toyota-Rav4
352,45,FEMALE,92804,41887,10,5,NEWISH-Toyota-Rav4
356,26,FEMALE,92376,37568,10,5,NEWISH-Toyota-Rav4
357,34,MALE,92704,49923,10,5,NEWISH-Toyota-Rav4
360,47,MALE,30349,39141,14,7,NEWISH-Nissan-Altima
362,32,FEMALE,91709,78336,3,1,OLDISH-Ford-Fusion
363,37,FEMALE,75211,32702,9,4,OLDISH-Toyota-Sienna
365,35,FEMALE,10467,29044,12,6,NEWISH-Nissan-Leaf
390,43,FEMALE,77083,52931,10,5,NEWISH-Toyota-Rav4
391,31,MALE,77084,53075,4,2,NEWISH-Toyota-Prius
392,40,FEMALE,77449,59198,12,6,NEWISH-Nissan-Leaf
393,42,MALE,10462,33735,10,5,NEWISH-Toyota-Rav4
399,34,MALE,77449,59198,10,5,NEWISH-Toyota-Rav4
402,41,FEMALE,30349,39141,5,2,OLDISH-Toyota-Prius
403,36,MALE,92336,55340,11,5,OLDISH-Toyota-Rav4
413,42,FEMALE,77479,96118,5,2,OLDISH-Toyota-Prius
424,39,MALE,95076,45354,12,6,NEWISH-Nissan-Leaf
425,38,FEMALE,92509,45995,7,3,OLDISH-Ford-Mustang
426,38,FEMALE,89110,43073,12,6,NEWISH-Nissan-Leaf
429,46,FEMALE,11214,33765,10,5,NEWISH-Toyota-Rav4
431,35,MALE,11214,33765,5,2,OLDISH-Toyota-Prius
434,39,FEMALE,23464,53486,8,4,NEWISH-Toyota-Sienna
436,35,FEMALE,37211,37141,14,7,NEWISH-Nissan-Altima
437,34,MALE,10458,22072,10,5,NEWISH-Toyota-Rav4
439,39,FEMALE,91910,42970,13,6,OLDISH-Nissan-Leaf
447,34,MALE,91335,40792,14,7,NEWISH-Nissan-Altima
448,42,MALE,79912,48627,9,4,OLDISH-Toyota-Sienna
450,37,MALE,94565,48523,5,2,OLDISH-Toyota-Prius
457,41,MALE,92553,38554,11,5,OLDISH-Toyota-Rav4
461,41,FEMALE,75052,60254,13,6,OLDISH-Nissan-Leaf
464,45,MALE,60618,41355,3,1,OLDISH-Ford-Fusion
465,40,MALE,91331,39225,8,4,NEWISH-Toyota-Sienna
466,38,FEMALE,92704,49923,9,4,OLDISH-Toyota-Sienna
